assign_seconds,budget,build_seconds,centered_discrepancy,combined_score_lower_is_better,composite_score,compressed_bytes,corpus,coverage_entropy,dataset,detected,detection_delay,discovered_bug_classes,false_positive_rate,field,imbalance_k2,input_bytes,k1,k2,locality_k2,mean_residual,method,min_grid_coverage,min_pairwise_distance,movement,n,ratio,roundtrip_ok,runtime_seconds,scenario,seed,selected_count,suite,threshold,top_recall,total_hits
,,,,,,822,blocks,,,,,,,,,32768,,,,,rdt_delta_zlib,,,,,39.86374695863747,True,0.0028489170072134584,,0,,transform_codec,,,
,,,,,,828,blocks,,,,,,,,,32768,,,,,adaptive_rdt_zlib,,,,,39.57487922705314,True,0.0030460419948212802,,0,,transform_codec,,,
,,,,,,32784,random,,,,,,,,,32768,,,,,zlib,,,,,0.9995119570522206,True,0.00039862500852905214,,0,,transform_codec,,,
,,,,,,33265,random,,,,,,,,,32768,,,,,bz2,,,,,0.9850593717120096,True,0.004286790994228795,,0,,transform_codec,,,
,,,,,,32828,random,,,,,,,,,32768,,,,,lzma,,,,,0.9981722919458998,True,0.004803291987627745,,0,,transform_codec,,,
,,,,,,32793,random,,,,,,,,,32768,,,,,rdt_delta_zlib,,,,,0.9992376421797334,True,0.0033808749867603183,,0,,transform_codec,,,
,,,,,,32790,random,,,,,,,,,32768,,,,,adaptive_rdt_zlib,,,,,0.9993290637389448,True,0.0021607079834211618,,0,,transform_codec,,,
9.437502012588084e-05,,0.013926582993008196,,0.20032674228680758,,,,,uniform,,,,,,1.25,,16,20,0.05628164952623907,,rdt_stable,,,0.125,20000,,,,,1,,stable_partition,,,
0.003759915998671204,,0.0,,1.2559044891492401,,,,,uniform,,,,,,1.053,,16,20,0.9990099758872008,,modulo_hash,,,0.79575,20000,,,,,1,,stable_partition,,,
0.03768091701203957,,0.0,,0.657601210788634,,,,,uniform,,,,,,1.036,,16,20,0.9988915795302978,,jump_hash,,,0.2009,20000,,,,,1,,stable_partition,,,
0.4686339999898337,,0.0,,0.6583900049910911,,,,,uniform,,,,,,1.051,,16,20,0.9990888999802027,,rendezvous_hash,,,0.1986,20000,,,,,1,,stable_partition,,,
0.0016793749819044024,,0.0,,0.9076039165077364,,,,,uniform,,,,,,1.051,,16,20,0.051008703350525555,,grid,,,0.87445,20000,,,,,1,,stable_partition,,,
0.004292958008591086,,0.0,,0.9209097738402816,,,,,uniform,,,,,,1.0,,16,20,0.10202171964507016,,morton_sort,,,0.875,20000,,,,,1,,stable_partition,,,
0.008260375005193055,,0.0,,1.0927800152404856,,,,,uniform,,,,,,1.0,,16,20,0.4839555894233013,,principal_sort,,,0.875,20000,,,,,1,,stable_partition,,,
0.00010404101340100169,,0.017457749985624105,,0.18975063051271612,,,,,uniform,,,,,,1.25,,32,40,0.0323347344727025,,rdt_stable,,,0.1252,20000,,,,,1,,stable_partition,,,
0.0038710840162821114,,0.0,,1.2663369486706397,,,,,uniform,,,,,,1.1,,32,40,0.9975265526014213,,modulo_hash,,,0.79745,20000,,,,,1,,stable_partition,,,
0.04487108299508691,,0.0,,0.6658736997881918,,,,,uniform,,,,,,1.088,,32,40,0.9982748884182038,,jump_hash,,,0.19905,20000,,,,,1,,stable_partition,,,
0.9055462499964051,,0.0,,0.6689855248321684,,,,,uniform,,,,,,1.096,,32,40,0.9981900551825964,,rendezvous_hash,,,0.2006,20000,,,,,1,,stable_partition,,,
0.0019001250038854778,,0.0,,1.31877377213538,,,,,uniform,,,,,,2.94,,32,40,0.030052826967511086,,grid,,,0.91725,20000,,,,,1,,stable_partition,,,
0.004284332972019911,,0.0,,0.9635604778433435,,,,,uniform,,,,,,1.0,,32,40,0.05791217298520778,,morton_sort,,,0.9375,20000,,,,,1,,stable_partition,,,
0.00376812502508983,,0.0,,1.152012315745143,,,,,uniform,,,,,,1.0,,32,40,0.47669403498920676,,principal_sort,,,0.9375,20000,,,,,1,,stable_partition,,,
0.00011862500105053186,,0.015227083000354469,,0.18201084318680907,,,,,uniform,,,,,,1.252,,64,80,0.013912984859575765,,rdt_stable,,,0.12535,20000,,,,,1,,stable_partition,,,
0.0036085419997107238,,0.0,,1.2833160030028448,,,,,uniform,,,,,,1.184,,64,80,0.9953688955618774,,modulo_hash,,,0.7986,20000,,,,,1,,stable_partition,,,
0.050156749988673255,,0.0,,0.676700422086881,,,,,uniform,,,,,,1.124,,64,80,0.996445382415291,,jump_hash,,,0.2035,20000,,,,,1,,stable_partition,,,
1.7943296669982374,,0.0,,0.6822143572885507,,,,,uniform,,,,,,1.152,,64,80,0.995698571752335,,rendezvous_hash,,,0.20375,20000,,,,,1,,stable_partition,,,
0.0016630000027362257,,0.0,,1.1544192438392318,,,,,uniform,,,,,,2.028,,64,80,0.012820541864959126,,grid,,,0.94305,20000,,,,,1,,stable_partition,,,
0.00434420898091048,,0.0,,0.9875568021012344,,,,,uniform,,,,,,1.0,,64,80,0.041681782447187614,,morton_sort,,,0.9688,20000,,,,,1,,stable_partition,,,
0.00390866698580794,,0.0,,1.1821043667798432,,,,,uniform,,,,,,1.0,,64,80,0.4740097039552071,,principal_sort,,,0.9688,20000,,,,,1,,stable_partition,,,
