assign_seconds,build_seconds,combined_score_lower_is_better,dataset,imbalance_k2,k1,k2,locality_k2,method,movement,n,python_peak_memory_kib,seed
0.0005529579939320683,0.0,0.9194183701539368,uniform,1.124,16,20,0.049374155897637294,grid,0.8724,5000,26896.4375,2
0.0012467910128179938,0.0,0.9322125622690438,uniform,1.0,16,20,0.1266945828200974,morton_sort,0.8752,5000,26896.4375,2
0.20196162498905323,0.0,0.9045175013298212,uniform,1.0,16,20,0.0651500029551584,hilbert_sort,0.8752,5000,26896.4375,2
0.001261750003322959,0.0,1.081650748619274,uniform,1.0,16,20,0.4587794413761643,principal_sort,0.8752,5000,26896.4375,2
0.027895665989490226,0.0,1.0925749834639045,uniform,1.0,16,20,0.4830555188086764,h3_sort,0.8752,5000,26896.4375,2
0.32456949999323115,0.0,0.960729458454069,uniform,1.0,16,20,0.19006546323126453,s2_sort,0.8752,5000,26896.4375,2
0.033175499993376434,0.0,0.92348747342954,uniform,1.0,16,20,0.10730549651008892,geohash_sort,0.8752,5000,26896.4375,2
8.224998600780964e-05,0.009189417003653944,0.2850348711651428,clustered,1.252,16,20,0.03474415814476178,rdt_stable,0.219,5000,26898.2578125,2
0.0009771659970283508,0.0,1.2618595599785678,clustered,1.096,16,20,0.9943545777301505,modulo_hash,0.7952,5000,26898.2578125,2
0.07994504200178199,0.0,0.6757441829839532,clustered,1.168,16,20,0.9963204066310072,jump_hash,0.1938,5000,26898.2578125,2
0.4422643329889979,0.0,0.6626184960936371,clustered,1.088,16,20,0.996485546874749,rendezvous_hash,0.1966,5000,26898.2578125,2
0.05470933299511671,0.0,0.7347835657639319,clustered,1.32,16,20,0.996852368364293,virtual_node_hash,0.2222,5000,26898.2578125,2
0.0005613339890260249,0.0,1.4506141747437034,clustered,4.2296,16,20,0.022431499430451897,grid,0.7946,5000,26898.2578125,2
0.001254500006325543,0.0,0.9011991741865731,clustered,1.0,16,20,0.05777594263682926,morton_sort,0.8752,5000,26898.2578125,2
0.2075539579964243,0.0,0.909212832338356,clustered,1.0,16,20,0.07558407186301348,hilbert_sort,0.8752,5000,26898.2578125,2
0.001644708012463525,0.0,0.9052704011311784,clustered,1.0,16,20,0.06682311362484088,principal_sort,0.8752,5000,26898.2578125,2
0.028025375009747222,0.0,0.9524232820408003,clustered,1.0,16,20,0.17160729342400058,h3_sort,0.8752,5000,26898.2578125,2
0.33078137499978766,0.0,0.9223978372630397,clustered,1.0,16,20,0.10488408280675506,s2_sort,0.8752,5000,26898.2578125,2
0.03277966700261459,0.0,0.9184544094106256,clustered,1.0,16,20,0.09612090980139032,geohash_sort,0.8752,5000,26898.2578125,2
